Id,Degree,Weighted Degree,betweenesscentrality,Imię i nazwisko,Kraj,Stan,Miasto,Firmy,Branże
"3982260","9","428","819.416667","Klaus  Lurssen","GERMANY","None","Bayerwerk","BAYER AKTIENGESELLSCHAFT","Organic Compounds"
"4282931","25","1273","652.761616","Hans-Joachim  Santel","GERMANY","None","Leverkusen","BAYER AKTIENGESELLSCHAFT","Drugs, Earth Working & Wells, Agriculture,Food,Textiles, Organic Compounds"
"4199101","14","865","503.970238","Wilhelm  Brandes","GERMANY","None","Leichlingen","BAYER AKTIENGESELLSCHAFT","Drugs, Agriculture,Food,Textiles, Resins, Organic Compounds"
"4293245","21","1236","460.452165","Robert E. Schmidt","UNITED STATES","VIRGINIA","Lynchburg","ERICSSON, INC.","Communications"
"4265541","15","588","386.575758","Hans-Jochem  Riebel","GERMANY","None","Wuppertal","BAYER AKTIENGESELLSCHAFT","Drugs, Agriculture,Food,Textiles, Organic Compounds"
"4290173","12","555","315.716667","Karl-Otto  Westphalen","GERMANY","None","Speyer","BASF AKTIENGESELLSCHAFT, BASF CORP.","Drugs, Agriculture,Food,Textiles, Organic Compounds"
"2944140","11","585","277.845238","Karl  Buchel","GERMANY","None","Wuppertal","BAYER AKTIENGESELLSCHAFT, AGFA-GEVAERT, AG","Drugs, Agriculture,Food,Textiles, Organic Compounds, Miscellaneous-chemical"
"3316067","11","499","264.733333","Bruno  Wuerzer","GERMANY","None","Otterstadt","BASF AKTIENGESELLSCHAFT, BASF CORP.","Drugs, Agriculture,Food,Textiles, Organic Compounds"
"2315123","23","1442","233.869841","Manfred H. Vock","UNITED STATES","NEW JERSEY","Locust","INTERNATIONAL FLAVORS + FRAGRANCES INC","Miscellaneous-chemical, Agriculture,Food,Textiles, Organic Compounds, Drugs, Coating, Agriculture,Husbandry,Food, Biotechnology"
"4290170","4","105","208.6","Albrecht  Harreus","GERMANY","None","Ludwigshafen","BASF AKTIENGESELLSCHAFT, BOEHRINGER INGELHEIM KG, BOEHRINGER INGELHEIM, GMBH","Drugs, Agriculture,Food,Textiles, Organic Compounds, Miscellaneous-chemical, Resins"
