Id,indegree,outdegree,betweenesscentrality,Wynalazcy,Kraj,Firma,Klasa,Podkategoria
"5442390","4","3","8.5","Peter Bixby, Matthew Goldman, Donald Hooper, Suban Krishnamoorthy","UNITED STATES","DIGITAL EQUIPMENT CORPORATION","Television","Miscellaneous-Elec"
"5421819","1","16","7.5","James Baker, Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5435805","1","16","7.5","James Baker, Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5385544","4","3","7","Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey, Bruno Strul","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5459860","1","4","5","Colin Burnett, Garry Haas","AUSTRALIA","INTERNATIONAL BUSINESS MACHINES CORPORATION","Data Processing:  Database and File Management, Data Structures, or Document Processing","Computer Hardware & Software"
"5421008","1","3","3","Kenneth Banning, Wendy James, Shih-Gong Li","UNITED STATES","INTERNATIONAL BUSINESS MACHINES CORPORATION","Data Processing:  Database and File Management, Data Structures, or Document Processing","Computer Hardware & Software"
"5452350","3","1","3","Edward Bonkowski, Joel Dalsky, Dean Pannell, Henry Reynolds, Joyce Schmidt","UNITED STATES","ADVANTIS","Telephonic Communications","Communications"
"5511122","1","3","3","Randall Atkinson","UNITED STATES","UNITED STATES OF AMERICA, NAVY","Electrical Computers and Digital Processing Systems:  Support","Computer Hardware & Software"
"5329619","2","1","2","Omid Ejtemai-Jandaghi, Terence Kennedy, Peter Page, Ruediger Warns","GERMANY","SOFTWARE AG","Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating","Computer Hardware & Software"
"5357510","1","2","2","Susumu Eda, Hiroyuki Hatta, Ryuji Hyodo, Reiko Norizuki, Katsumi Oomuro, Osamu Sekihata, Kenji Tanaka","JAPAN","FUJITSU LIMITED","Multiplex Communications","Communications"
