Id,indegree,outdegree,clustering,inventor,citedby,citingno,country,company,class,subcategory
"5408190","1","1","0.5","Warren Farnworth, David Hembree, Alan Wood","43","30","UNITED STATES","MICRON TECHNOLOGY, INC.","Electricity:  Measuring and Testing","Measuring & Testing"
"5413378","1","1","0.5","Brian Blackburn, Scott Gentry, Joseph Mazur, Charles Steffens, Thomas Vos","55","10","UNITED STATES","TRW VEHICLE SAFETY SYSTEMS, INC.","Land Vehicles","Transportation"
"5514130","0","2","0.5","James Baker","45","15","UNITED STATES","DORSAL MED INTERNATIONAL","Surgery","Surgery & Med Inst."
"5301109","3","0","0.333333","Thomas Landauer, Michael Littman","28","7","UNITED STATES","BELL COMMUNICATIONS RESEARCH, INC.","Data Processing: Speech Signal Processing, Linguistics, Language Translation, and Audio Compression/Decompression","Computer Hardware & Software"
"5399561","2","1","0.333333","Roshantha Chandraratna","49","37","UNITED STATES","ALLERGAN, INC.","Drug, Bio-Affecting and Body Treating Compositions","Drugs"
"5418948","2","1","0.333333","Howard Turtle","45","34","UNITED STATES","WEST PUBLISHING COMPANY","Data Processing:  Database and File Management, Data Structures, or Document Processing","Computer Hardware & Software"
"5426064","2","1","0.333333","Toru Takayama, Yasuhiko Takemura, Hideki Uochi, Hognyong Zhang","39","2","JAPAN","SEMICONDUCTOR ENERGY LABORATORY CO., LTD.","Semiconductor Device Manufacturing: Process","Semiconductor Devices"
"5508732","0","3","0.333333","John Bottomley, Henry Chadwick, James Hall, Frank Moore, John Powers, Marc Putterman, Mark Schaszberger, Robin Williams, Robert Withers","33","7","UNITED STATES","INTERNATIONAL BUSINESS MACHINES CORPORATION","Television","Miscellaneous-Elec"
"5569242","0","3","0.333333","Stuart Edwards, Gary Fanton, Ronald Lax","29","17","UNITED STATES","None","Surgery","Surgery & Med Inst."
"5458596","2","2","0.25","Stuart Edwards, Gary Fanton, Ronald Lax","51","15","UNITED STATES","DORSAL ORTHOPEDIC CORPORATION","Surgery","Surgery & Med Inst."
